iso_a3,wgt,more_selfish,more_criminal,gov_should_reduce_inequality,inequality_unfair,WP1219,WP1220,WP3117,income_2,WP14
EGY,1.0746196474221479,NA,NA,5,4,2,60,1,5929.5700119236235,3
EGY,0.7164130982814317,NA,NA,5,5,2,65,1,4235.407151374017,3
EGY,0.7164130982814317,NA,NA,5,5,2,55,1,10588.517878435043,2
EGY,1.216448261628326,NA,5,5,5,2,29,2,12706.221454122051,2
EGY,1.1966061785212236,NA,NA,5,5,1,36,1,21177.035756870086,3
EGY,1.7853467861038215,1,3,5,5,2,21,1,4235.407151374017,6
EGY,0.9450451339248647,NA,NA,5,5,2,35,2,4235.407151374017,6
EGY,0.9102006049591572,NA,4,5,5,2,30,3,6353.1107270610255,6
EGY,2.432896523256652,NA,NA,5,5,2,24,2,2541.24429082441,3
EGY,1.661109012382072,NA,NA,5,5,2,49,2,8470.814302748035,3
EGY,2.098907911109938,NA,3,5,3,1,19,2,6353.1107270610255,3
EGY,1.0748036796806706,NA,NA,5,5,1,47,2,6353.1107270610255,6
EGY,1.2633554987548252,NA,NA,5,5,1,51,2,12706.221454122051,6
EGY,0.7165357864537805,2,NA,5,5,1,48,2,4235.407151374017,3
EGY,1.0815774452021913,NA,NA,4,5,1,65,3,21177.035756870086,3
EGY,1.417567700887298,NA,NA,5,5,2,35,2,14823.92502980906,6
EGY,0.8153091136386151,NA,5,5,5,1,39,2,10588.517878435043,6
EGY,1.0815774452021913,NA,NA,5,5,1,56,3,12706.221454122051,3
EGY,0.5234986999196459,1,3,5,3,1,35,3,6353.1107270610255,3
EGY,1.0815774452021913,NA,NA,2,2,1,61,2,12706.221454122051,2
EGY,0.6068004033061049,2,NA,5,5,2,38,2,10588.517878435043,2
EGY,1.216448261628326,1,NA,5,5,2,27,2,6776.6514421984275,2
EGY,0.5234986999196459,NA,NA,5,5,1,33,3,21177.035756870086,2
EGY,0.8153091136386151,NA,4,5,5,1,30,2,12706.221454122051,3
EGY,0.3582065491086283,4,NA,5,5,2,50,2,11859.140023847247,6
EGY,1.0746196474221479,NA,NA,5,5,2,52,1,4235.407151374017,3
EGY,0.35820654914071587,NA,NA,5,5,2,60,1,2117.7035756870087,2
EGY,2.0382727840965376,5,NA,5,5,1,31,2,9317.895733022837,6
EGY,1.9525158356804138,NA,NA,5,5,2,63,2,19059.332181183076,6
EGY,0.47252256696243233,5,NA,5,5,2,37,2,4235.407151374017,2
EGY,0.5332875555174195,4,NA,5,5,2,40,3,8470.814302748035,3
EGY,0.7164130982814317,5,NA,5,5,2,66,1,5336.613010731261,6
EGY,0.7164130982814317,NA,5,5,5,2,60,1,6353.1107270610255,6
EGY,0.3582065491086283,NA,4,5,4,2,43,2,12706.221454122051,6
EGY,1.5402539555656645,NA,NA,5,5,1,18,1,12706.221454122051,6
EGY,1.216448261628326,NA,NA,5,5,2,25,2,3811.8664362366153,3
EGY,0.6094907054769899,NA,NA,5,5,2,44,1,4235.407151374017,3
EGY,2.432896523256652,NA,NA,5,5,2,18,2,6353.1107270610255,3
EGY,0.3582065491086283,NA,NA,5,5,2,53,3,6353.1107270610255,6
EGY,0.6180637381128157,NA,5,5,5,1,72,1,6353.1107270610255,2
EGY,1.3476797258078281,NA,5,5,5,1,28,3,10588.517878435043,2
EGY,1.545159345282039,5,NA,5,4,1,50,1,8470.814302748035,1
EGY,1.049453955554969,1,NA,5,5,1,25,2,4235.407151374017,1
EGY,0.9450451339248647,NA,NA,5,5,2,37,2,10588.517878435043,6
EGY,0.830554506191036,4,NA,4,5,2,40,2,19059.332181183076,6
EGY,1.7337700930219773,NA,NA,5,5,2,37,1,8470.814302748035,6
EGY,0.5983030892606118,1,NA,5,5,1,30,1,10588.517878435043,2
EGY,1.2633554987548252,NA,4,5,5,1,55,2,10588.517878435043,1
EGY,0.830554506191036,5,NA,5,5,2,45,2,12706.221454122051,2
EGY,0.3582065491086283,NA,NA,5,4,2,45,1,2753.014648393111,1
EGY,0.5258196767699839,NA,NA,5,5,1,41,1,5082.48858164882,2
EGY,1.3145491919249594,5,NA,5,5,1,45,1,12706.221454122051,6
EGY,2.098907911109938,5,NA,5,5,1,18,2,10588.517878435043,6
EGY,2.432896523256652,2,NA,4,4,2,17,2,8470.814302748035,2
EGY,0.7164130982814317,NA,NA,5,4,2,55,1,16941.62860549607,2
EGY,1.216448261628326,NA,NA,5,5,2,25,2,1694.1628605496069,1
EGY,2.098907911109938,NA,NA,5,5,1,23,2,12706.221454122051,6
EGY,0.6180637381128157,1,NA,5,5,1,65,1,6353.1107270610255,6
EGY,1.2633554987548252,2,NA,5,5,1,56,2,7200.192157335829,2
EGY,0.3582065491086283,NA,NA,5,5,1,55,1,4235.407151374017,6
EGY,0.9450451339248647,3,3,5,5,2,30,2,4235.407151374017,2
EGY,1.5621291920556333,NA,5,5,5,2,23,3,11435.599308709847,2
EGY,0.6935080372087912,NA,NA,5,5,2,31,1,4235.407151374017,2
EGY,0.6935080372087912,2,5,NA,NA,2,37,1,4235.407151374017,2
EGY,1.216448261628326,NA,NA,5,5,2,18,2,4235.407151374017,3
EGY,1.2189814109539798,NA,4,5,5,2,43,1,6353.1107270610255,3
EGY,0.9270956071692229,2,NA,2,4,1,57,1,19059.332181183076,3
EGY,2.231683482629777,NA,NA,5,3,2,19,1,7200.192157335829,2
EGY,2.6236348888700896,2,NA,4,5,1,23,2,16941.62860549607,3
EGY,0.5258196767699839,NA,NA,5,5,1,48,1,6353.1107270610255,2
EGY,0.6180637381128157,5,NA,5,5,1,67,1,3409.5027568560836,2
EGY,1.2189814109539798,NA,NA,5,5,2,40,1,6353.1107270610255,3
EGY,0.6935080372087912,NA,NA,5,5,2,36,1,8470.814302748035,3
EGY,0.6094907054769899,5,NA,NA,NA,2,49,1,6353.1107270610255,2
EGY,0.8422369991698837,4,NA,1,3,1,62,2,25412.442908244102,6
EGY,1.684599657259785,NA,3,5,5,1,19,2,16941.62860549607,6
EGY,0.6180637381128157,5,4,5,5,1,62,1,16941.62860549607,6
EGY,0.6935080372087912,NA,NA,5,4,2,30,1,2117.7035756870087,1
EGY,0.8422369991698837,NA,3,5,5,1,63,2,6353.1107270610255,1
EGY,1.5237267636924745,NA,NA,5,NA,2,45,1,12706.221454122051,1
EGY,0.830554506191036,2,NA,5,5,2,42,2,8470.814302748035,3
EGY,0.5258196767699839,5,NA,5,5,1,42,1,3600.0960786679143,6
EGY,1.010759794355871,5,NA,5,5,1,25,3,6353.1107270610255,6
EGY,1.6844739983397674,NA,NA,5,5,1,55,2,19059.332181183076,6
EGY,0.6180637381128157,NA,NA,5,5,1,63,1,19059.332181183076,6
EGY,1.2361274762256313,5,NA,5,5,1,68,1,16941.62860549607,1
EGY,0.9450451339248647,NA,NA,5,5,2,34,2,4235.407151374017,3
EGY,0.6935080372087912,1,5,5,5,2,35,1,12706.221454122051,6
EGY,0.8422369991698837,5,NA,5,5,1,64,2,21177.035756870086,6
EGY,1.6844739983397674,NA,NA,5,NA,1,55,2,10588.517878435043,6
EGY,1.9526614900695418,NA,NA,5,4,2,18,2,2541.24429082441,3
EGY,0.5234986999196459,NA,NA,5,5,1,31,3,6353.1107270610255,3
EGY,0.35820654914071587,NA,NA,5,5,2,56,1,3600.0960786679143,6
EGY,0.35820654914071587,NA,NA,5,NA,2,60,1,8470.814302748035,6
EGY,0.8926733930519107,NA,NA,4,5,2,25,1,2753.014648393111,1
EGY,1.216448261628326,5,NA,5,5,2,26,2,8470.814302748035,3
EGY,1.5237267636924745,NA,NA,5,5,2,44,1,6353.1107270610255,1
EGY,0.5332875555174195,5,5,5,5,2,40,3,8470.814302748035,6
EGY,1.0746196474221479,NA,NA,5,5,2,61,1,4235.407151374017,3
EGY,1.3390100895778658,3,NA,5,4,2,27,1,10588.517878435043,3
EGY,1.0402620558131865,NA,NA,5,5,2,35,1,2964.7850059618117,3
EGY,0.5234986999196459,1,4,2,5,1,35,3,6353.1107270610255,3
EGY,0.3582065491086283,NA,NA,5,5,1,35,3,8470.814302748035,1
EGY,0.8153091136386151,NA,NA,5,4,1,36,2,16941.62860549607,6
EGY,0.8926733930519107,NA,NA,5,5,2,29,1,6353.1107270610255,6
EGY,1.010759794355871,NA,NA,5,5,1,24,3,16941.62860549607,6
EGY,0.7887295151549762,2,NA,5,5,1,45,1,2964.7850059618117,2
EGY,0.6068004033061049,5,NA,5,5,2,38,2,6353.1107270610255,2
EGY,1.5237267636924745,NA,4,4,4,2,47,1,12706.221454122051,2
EGY,0.6901165699848665,NA,NA,5,5,1,40,3,12706.221454122051,2
EGY,0.785248049879469,NA,5,5,5,1,31,3,19059.332181183076,2
EGY,0.46007771332324426,NA,NA,5,5,1,45,3,8470.814302748035,2
